checkpoint,rep,run_id,opponent,games,hands_total,pokeragent_chips,opponent_chips,pokeragent_wins,opponent_wins,chips_per_game,best_game_gain,worst_game_gain,std_game_gain,elapsed_sec
145002,1,1,RandomPlayer,100,10000,181290,18490,90,10,812.9,1000,-1000,472.3,7.5
145002,1,1,RaisedPlayer,100,10000,107960,91840,54,46,79.6,1000,-1000,947.2,8.2
145002,1,1,TightPassive,100,10000,156900,43070,85,15,569.0,1000,-1000,557.9,6.2
145002,1,1,LooseAggr,100,10000,146940,52780,73,27,469.4,1000,-1000,774.3,9.1
145002,1,1,Raise50,100,10000,188470,11320,95,5,884.7,1000,-1000,360.4,6.8
145002,1,1,Raise90,100,10000,122060,77750,61,39,220.6,1000,-1000,910.5,5.3
145002,1,1,PreflopAggroSticky,100,10000,113830,86040,57,43,138.3,1000,-1000,862.8,8.4
145002,1,1,CallingStation,100,10000,164890,35040,84,16,648.9,1000,-1000,521.0,10.5
145002,1,1,PressureFolder,100,10000,193500,6290,100,0,935.0,1000,360,131.1,9.4
145002,1,1,ValueRegular,100,10000,106690,93250,53,46,66.9,1000,-1000,742.6,12.2
145002,1,1,NittyValue,100,10000,105360,94560,53,47,53.6,1000,-1000,600.5,13.0
145002,1,1,BalancedPressure,100,10000,103730,96170,54,46,37.3,1000,-1000,831.0,11.4
145002,1,1,ShowdownRegular,100,10000,102770,97070,54,46,27.7,1000,-1000,813.6,3.5
145002,2,2,RandomPlayer,100,10000,190890,8790,98,2,908.9,1000,-570,269.3,4.8
145002,2,2,RaisedPlayer,100,10000,113480,86310,58,42,134.8,1000,-1000,940.0,1.5
145002,2,2,TightPassive,100,10000,153910,46040,80,19,539.1,1000,-1000,635.3,5.9
145002,2,2,LooseAggr,100,10000,151170,48590,75,25,511.7,1000,-1000,758.3,7.8
145002,2,2,Raise50,100,10000,188730,10960,96,4,887.3,1000,-1000,350.1,8.9
145002,2,2,Raise90,100,10000,126130,73610,62,37,261.3,1000,-1000,867.6,8.1
145002,2,2,PreflopAggroSticky,100,10000,137190,62660,69,31,371.9,1000,-1000,800.1,3.1
145002,2,2,CallingStation,100,10000,157780,42150,80,20,577.8,1000,-1000,590.2,4.3
145002,2,2,PressureFolder,100,10000,194350,5400,100,0,943.5,1000,400,112.9,12.5
145002,2,2,ValueRegular,100,10000,98980,100910,49,50,-10.2,1000,-1000,792.5,9.9
145002,2,2,NittyValue,100,10000,111420,88470,55,44,114.2,1000,-1000,688.7,12.0
145002,2,2,BalancedPressure,100,10000,113250,86630,61,39,132.5,1000,-1000,835.5,7.0
145002,2,2,ShowdownRegular,100,10000,111310,88610,56,44,113.1,1000,-1000,826.6,11.0
145002,3,3,RandomPlayer,100,10000,181490,18230,92,8,814.9,1000,-1000,454.7,8.3
145002,3,3,RaisedPlayer,100,10000,103690,96150,52,48,36.9,1000,-1000,917.4,7.7
145002,3,3,TightPassive,100,10000,155810,44160,83,17,558.1,1000,-1000,561.3,11.0
145002,3,3,LooseAggr,100,10000,145910,53820,75,25,459.1,1000,-1000,808.7,4.6
145002,3,3,Raise50,100,10000,191490,8250,99,1,914.9,1000,-360,242.3,9.0
145002,3,3,Raise90,100,10000,106020,93830,53,47,60.2,1000,-1000,936.4,1.4
145002,3,3,PreflopAggroSticky,100,10000,144470,55420,76,24,444.7,1000,-1000,777.4,2.4
145002,3,3,CallingStation,100,10000,166830,33090,85,15,668.3,1000,-1000,547.7,3.5
145002,3,3,PressureFolder,100,10000,192690,7090,100,0,926.9,1000,580,117.9,6.1
145002,3,3,ValueRegular,100,10000,103960,95940,56,44,39.6,1000,-1000,778.6,13.2
145002,3,3,NittyValue,100,10000,109920,90000,53,47,99.2,1000,-1000,626.6,13.4
145002,3,3,BalancedPressure,100,10000,110400,89380,57,43,104.0,1000,-1000,827.6,7.9
145002,3,3,ShowdownRegular,100,10000,124280,75600,63,35,242.8,1000,-1000,773.6,12.0
